customer_id,first_name,last_name,country
18,Michelle,Brooks,USA
38,Niklas,Schröder,Germany
1,Luís,Gonçalves,Brazil
10,Eduardo,Martins,Brazil
43,Isabelle,Mercier,France
9,Kara,Nielsen,Denmark
4,Bjørn,Hansen,Norway
39,Camille,Bernard,France
3,François,Tremblay,Canada
58,Manoj,Pareek,India
37,Fynn,Zimmermann,Germany
50,Enrique,Muñoz,Spain
19,Tim,Goyer,USA
36,Hannah,Schneider,Germany
57,Luis,Rojas,Chile
48,Johannes,Van der Berg,Netherlands
8,Daan,Peeters,Belgium
17,Jack,Smith,USA
54,Steve,Murray,United Kingdom
7,Astrid,Gruber,Austria
11,Alexandre,Rocha,Brazil
56,Diego,Gutiérrez,Argentina
