customer_id,first_name,last_name,track_name,total_quantity_sold
1,Luís,Gonçalves,"Put Your Lights On",1
2,Leonie,Köhler,Cochise,1
3,François,Tremblay,"Sting Me",2
4,Bjørn,Hansen,"Welcome to the Jungle",1
5,František,Wichterlová,Razor,1
6,Helena,Holý,"Foxy Lady",1
7,Astrid,Gruber,"Lady Double Dealer",1
8,Daan,Peeters,"I Wish It Would Rain",1
9,Kara,Nielsen,"Put The Finger On You",1
10,Eduardo,Martins,"Like A Bird",2
11,Alexandre,Rocha,Battery,1
12,Roberto,Almeida,"Love And Marriage",2
13,Fernanda,Ramos,"24 Caprices, Op. 1, No. 24, for Solo Violin, in A Minor",2
14,Mark,Philips,"Us And Them",1
15,Jennifer,Peterson,"Hell Ain't A Bad Place To Be",1
16,Frank,Harris,"Too Young To Die",1
17,Jack,Smith,"Fly Away",1
18,Michelle,Brooks,"Right Next Door to Hell",1
19,Tim,Goyer,"Spank Thru",1
20,Dan,Miller,"I Like Dirt",1
21,Kathy,Chase,"Foxy Lady",1
22,Heather,Leacock,Alberta,1
23,John,Gordon,Whatsername,1
24,Frank,Ralston,"See You",1
25,Victor,Stevens,Untitled,2
26,Richard,Cunningham,"Wherever I Lay My Hat",1
27,Patrick,Gray,"War Pigs",2
28,Julia,Barnett,"Get What You Need",2
29,Robert,Brown,"Children Of The Grave",1
30,Edward,Francis,"Help Yourself",1
31,Martha,Silk,"Boris The Spider",1
32,Aaron,Mitchell,"Please Please Please",1
33,Ellie,Sullivan,"Dude (Looks Like A Lady)",1
34,João,Fernandes,"Train In Vain",2
35,Madalena,Sampaio,"Highway Chile",1
36,Hannah,Schneider,"I Can't Explain",2
37,Fynn,Zimmermann,Radio/Video,2
38,Niklas,Schröder,"English Civil War",1
39,Camille,Bernard,"It's Electric",1
40,Dominique,Lefebvre,"Black Hole Sun",1
41,Marc,Dubois,"Runnin' With The Devil",1
42,Wyatt,Girard,Changes,2
43,Isabelle,Mercier,"Tease Me Please Me",2
44,Terhi,Hämäläinen,"Baba O'Riley",1
45,Ladislav,Kovács,"Up In Arms",1
46,Hugh,O'Reilly,N.I.B.,2
47,Lucas,Mancini,"Love Is Strong",1
48,Johannes,"Van der Berg",Confusion,2
49,Stanisław,Wójcik,Faceless,2
50,Enrique,Muñoz,"Até Que Enfim Encontrei Você",1
51,Joakim,Johansson,"Stairway To Heaven",1
52,Emma,Jones,"Speak To Me/Breathe",1
53,Phil,Hughes,"For Those About To Rock (We Salute You)",1
54,Steve,Murray,"Sparks Will Fly",1
55,Mark,Taylor,"Mother's Little Helper",1
56,Diego,Gutiérrez,"My Way",1
57,Luis,Rojas,"Shape of Things to Come",1
58,Manoj,Pareek,"Dirty Little Thing",1
59,Puja,Srivastava,Time,1
