first_name,last_name,number_of_purchases,average_order_value
František,Wichterlová,18,8.03
Madalena,Sampaio,16,5.135625
Fernanda,Ramos,15,7.128
Hugh,O'Reilly,13,8.833846
Manoj,Pareek,13,8.605385
Luís,Gonçalves,13,8.376923
João,Fernandes,13,7.92
Luis,Rojas,13,7.463077
Edward,Francis,13,7.006154
Helena,Holý,12,10.725
Jack,Smith,12,8.1675
Dan,Miller,12,7.92
Heather,Leacock,12,7.6725
Richard,Cunningham,12,7.1775
Ellie,Sullivan,12,6.27
Isabelle,Mercier,12,6.105
Eduardo,Martins,12,5.0325
Wyatt,Girard,11,9.09
Phil,Hughes,11,8.91
Enrique,Muñoz,11,8.91
Kathy,Chase,11,8.28
Hannah,Schneider,11,7.74
Leonie,Köhler,11,7.47
Roberto,Almeida,11,7.47
Terhi,Hämäläinen,11,7.2
Martha,Silk,11,5.67
Fynn,Zimmermann,10,9.405
Mark,Taylor,10,8.118
Ladislav,Kovács,10,7.821
Stanisław,Wójcik,10,7.623
Victor,Stevens,10,7.623
Joakim,Johansson,10,7.524
Julia,Barnett,10,7.227
Alexandre,Rocha,10,6.93
John,Gordon,10,6.633
Johannes,Van der Berg,10,6.534
Kara,Nielsen,10,3.762
Mark,Philips,10,2.97
François,Tremblay,9,11.11
Patrick,Gray,9,9.35
Camille,Bernard,9,8.8
Steve,Murray,9,8.8
Niklas,Schröder,9,8.14
Bjørn,Hansen,9,8.03
Dominique,Lefebvre,9,8.03
Astrid,Gruber,9,7.7
Jennifer,Peterson,9,7.37
Marc,Dubois,9,7.15
Tim,Goyer,9,6.05
Lucas,Mancini,9,5.61
Michelle,Brooks,8,9.9
Frank,Harris,8,9.28125
Frank,Ralston,8,8.91
Puja,Srivastava,8,8.91
Aaron,Mitchell,8,8.78625
Emma,Jones,8,8.53875
Daan,Peeters,7,8.627143
Diego,Gutiérrez,5,7.92
Robert,Brown,4,10.1475
